"","String","Count"
"317","many_of",60466
"318","them_to",60419
"319","at_all",60401
"320","as_i",60268
"321","like_to",60255
"322","what_the",60214
"323","out_the",60139
"324","a_long",60066
"325","in_that",60001
"326","the_fact",59874
"327","rather_than",59561
"328","think_it",59463
"329","to_know",59460
"330","the_door",59293
"331","the_national",59292
"332","or_the",59191
"333","what_they",59175
"334","so_that",59138
"335","so_much",58824
"336","to_come",58607
"337","of_what",58494
"338","do_it",58313
"339","what_we",58290
"340","of_people",58210
"341","of_us",58199
"342","each_other",58005
"343","based_on",57884
"344","a_small",57514
"345","last_year",57396
"346","with_her",57322
"347","those_who",57027
"348","his_own",56982
"349","him_to",56935
"350","not_the",56593
"351","and_there",56585
"352","away_from",56530
"353","up_and",56430
"354","time_to",56405
"355","what_he",56377
"356","just_a",56199
"357","as_it",56164
"358","the_second",56103
"359","but_they",55868
"360","up_in",55831
"361","in_new",55631
"362","the_government",55624
"363","got_to",55454
"364","been_a",55179
"365","the_one",54758
"366","a_man",54592
"367","in_our",54592
"368","enough_to",54150
"369","this_was",54082
"370","this_year",54028
"371","when_we",54011
"372","the_day",53804
"373","the_company",53661
"374","when_she",53458
"375","must_be",53374
"376","might_be",53274
"377","me_to",53129
"378","it_will",53073
"379","n't_be",53058
"380","if_we",52989
"381","and_what",52934
"382","the_rest",52813
"383","and_their",52763
"384","to_give",52613
"385","who_had",52538
"386","than_a",52428
"387","i_thought",52415
"388","a_big",52296
"389","they_can",51961
"390","the_whole",51813
"391","let_me",51536
"392","who_was",51506
"393","i_just",51463
"394","tried_to",51458
"395","or_a",51389
"396","is_in",51357
"397","did_you",51275
"398","because_the",51252
"399","we_had",51165
"400","use_of",51132
"401","that_this",51035
"402","you_were",50962
"403","because_it",50959
"404","fact_that",50897
"405","talking_about",50846
"406","of_your",50831
"407","she_says",50758
"408","the_man",50746
"409","to_their",50715
"410","is_no",50662
"411","because_they",50573
"412","when_it",50513
"413","who_is",50369
"414","right_now",50143
"415","the_middle",50141
"416","to_you",49833
"417","know_that",49803
"418","is_it",49585
"419","say_that",49584
"420","be_able",49549
"421","make_a",49408
"422","take_a",49281
"423","on_this",49225
"424","sense_of",49201
"425","the_old",49158
"426","the_top",49137
"427","the_case",49134
"428","out_to",49015
"429","among_the",48913
"430","talk_about",48717
"431","up_with",48652
"432","get_a",48625
"433","to_him",48541
"434","to_this",48506
"435","the_white",48471
"436","in_your",48322
"437","it_does",47771
"438","high_school",47666
"439","see_the",47612
"440","to_use",47516
"441","it_in",47389
"442","for_his",47378
"443","come_to",47271
"444","for_me",47267
"445","is_going",47223
"446","with_an",46908
"447","front_of",46572
"448","a_couple",46389
"449","you_to",46373
"450","as_we",46257
"451","on_her",46086
"452","but_that",46019
"453","said_that",45661
"454","because_i",45654
"455","at_this",45629
"456","and_her",45237
"457","to_tell",45216
"458","likely_to",44863
"459","as_you",44839
"460","the_public",44809
"461","tell_you",44513
"462","within_the",44497
"463","they_would",44496
"464","to_look",44406
"465","that_has",44290
"466","to_talk",44210
"467","but_you",44167
"468","but_we",43919
"469","side_of",43912
"470","and_more",43876
"471","and_if",43853
"472","as_she",43835
"473","since_the",43830
"474","like_that",43768
"475","much_of",43602
"476","on_their",43478
"477","in_front",43405
"478","in_order",43205
"479","went_to",43195
"480","rest_of",43144
"481","after_a",43139
"482","for_this",43067
"483","in_some",42887
"484","what_do",42740
"485","may_have",42710
"486","she_is",42675
"487","couple_of",42443
"488","about_a",42311
"489","has_to",42045
"490","for_her",41958
"491","the_number",41885
"492","the_air",41866
"493","from_his",41833
"494","you_could",41773
"495","we_don't",41760
"496","i_ca",41740
"497","people_are",41736
"498","they_did",41707
"499","i_can't",41698
"500","the_problem",41636
"501","got_a",41619
"502","instead_of",41596
"503","and_this",41548
"504","was_to",41465
"505","less_than",41424
"506","for_their",41422
"507","back_in",41418
"508","could_have",41244
"509","in_its",41201
"510","as_much",41089
"511","first_time",41072
"512","the_back",41050
"513","and_its",40982
"514","a_way",40916
"515","the_nation",40893
"516","toward_the",40802
"517","who_have",40786
"518","get_the",40723
"519","with_their",40662
"520","had_the",40624
"521","is_one",40611
"522","and_when",40499
"523","seems_to",40413
"524","the_future",40393
"525","for_you",40216
"526","it_had",40148
"527","in_addition",40144
"528","was_going",40124
"529","to_put",40077
"530","the_more",39952
"531","no_longer",39943
"532","but_there",39898
"533","what_was",39897
"534","said_the",39839
"535","was_an",39815
"536","a_large",39762
"537","began_to",39749
"538","for_an",39595
"539","to_an",39548
"540","you_get",39509
"541","along_with",39497
"542","and_not",39478
"543","are_a",39431
"544","the_big",39323
"545","order_to",39300
"546","a_moment",39254
"547","what_it",39170
"548","she_could",39092
"549","would_not",39028
"550","but_not",39013
"551","how_much",38899
"552","just_as",38889
"553","in_one",38814
"554","san_francisco",38797
"555","but_she",38713
"556","et_al",38698
"557","i_got",38621
"558","came_to",38509
"559","while_the",38369
"560","you_ca",38352
"561","you_can't",38349
"562","members_of",38342
"563","the_room",38298
"564","a_woman",38150
"565","even_though",38088
"566","for_all",38088
"567","his_head",38056
"568","think_the",37964
"569","and_all",37963
"570","to_my",37962
"571","up_a",37933
"572","could_not",37921
"573","along_the",37874
"574","and_is",37810
"575","the_ground",37774
"576","that_will",37704
"577","make_it",37685
"578","believe_that",37673
"579","the_war",37483
"580","the_idea",37412
"581","who_has",37381
"582","terms_of",37347
"583","two_years",37207
"584","make_the",37190
"585","not_have",37189
"586","she_did",37180
"587","so_many",37167
"588","wants_to",37094
"589","seemed_to",37081
"590","and_now",37067
"591","hard_to",37027
"592","i_guess",36988
"593","to_that",36954
"594","the_water",36925
"595","even_if",36909
"596","they_don't",36883
"597","that_in",36863
"598","very_much",36823
"599","the_question",36815
"600","said_he",36799
"601","and_how",36765
"602","but_in",36686
"603","down_to",36665
"604","this_time",36570
"605","a_number",36487
"606","out_there",36441
"607","be_in",36386
"608","was_no",36345
"609","n't_get",36307
