"","String","Count"
"1","thanks_for_the",118310
"2","one_of_the",104320
"3","a_lot_of",97210
"4","i_want_to",67190
"5","to_be_a",65670
"6","going_to_be",63750
"7","i_have_a",54070
"8","looking_forward_to",52800
"9","it_was_a",52150
"10","i_have_to",51910
"11","thank_you_for",49670
"12","the_end_of",48890
"13","out_of_the",47640
"14","be_able_to",46550
"15","i_love_you",46480
"16","i_need_to",46030
"17","i_don't_know",45120
"18","some_of_the",43290
"19","can't_wait_to",42880
"20","i'm_going_to",42000
"21","the_rest_of",41150
"22","as_well_as",40160
"23","one_of_my",39690
"24","is_going_to",38970
"25","for_the_follow",38770
"26","a_couple_of",38150
"27","you_want_to",37910
"28","to_go_to",36180
"29","there_is_a",36040
"30","this_is_a",36000
"31","part_of_the",35710
"32","the_fact_that",35210
"33","in_the_world",34350
"34","you_have_to",34120
"35","this_is_the",32890
"36","if_you_are",32860
"37","you_have_a",32800
"38","i_think_i",32340
"39","have_a_great",32260
"40","the_first_time",32250
"41","it_is_a",32110
"42","i_have_been",31720
"43","i_had_to",31620
"44","i_had_a",31390
"45","it_would_be",31080
"46","end_of_the",30340
"47","to_have_a",30030
"48","to_see_you",28910
"49","there_is_no",28800
"50","all_of_the",28760
"51","i_will_be",28470
"52","at_the_end",28320
"53","of_the_day",28280
"54","when_i_was",27920
"55","i_feel_like",27790
"56","if_you_have",27620
"57","let_me_know",27500
"58","i_wanted_to",27170
"59","i_don't_think",27150
"60","is_one_of",26610
"61","i_am_not",26120
"62","if_you_want",25630
"63","to_be_the",25560
"64","don't_want_to",25220
"65","i_wish_i",25100
"66","want_to_be",25050
"67","in_order_to",24870
"68","in_front_of",24790
"69","for_the_first",24620
"70","to_see_the",24470
"71","you_need_to",24320
"72","to_make_a",24230
"73","rest_of_the",24150
"74","back_to_the",24100
"75","a_bit_of",23450
"76","it_will_be",23330
"77","what_do_you",23220
"78","most_of_the",23080
"79","one_of_those",23030
"80","would_like_to",22930
"81","to_do_with",22510
"82","to_get_a",22220
"83","as_much_as",21830
"84","was_going_to",21660
"85","would_love_to",21620
"86","all_the_time",21350
"87","i_can't_wait",21310
"88","i_don't_have",21070
"89","for_the_rt",21010
"90","and_i_have",20990
"91","are_going_to",20970
"92","at_the_same",20850
"93","we_need_to",20830
"94","that_i_have",20770
"95","in_the_morning",20740
"96","go_to_the",20690
"97","so_i_can",20680
"98","do_you_think",20670
"99","i_hope_you",20660
"100","if_you_don't",20650
"101","you_so_much",20630
"102","i_love_the",20500
"103","have_to_be",20320
"104","i_know_i",20290
"105","i_am_so",20220
"106","there_was_a",20200
"107","in_the_middle",20120
"108","do_you_have",19640
"109","the_same_time",19500
"110","in_my_life",19440
"111","wait_to_see",19420
"112","to_make_it",19350
"113","of_the_year",19330
"114","and_it_was",19210
"115","i_don't_want",19080
"116","i_have_no",19020
"117","as_long_as",19010
"118","we_have_a",18930
"119","and_i_am",18920
"120","i_am_a",18690
"121","a_great_day",18410
"122","look_forward_to",18280
"123","of_the_most",18250
"124","to_be_in",18150
"125","need_to_be",17940
"126","had_a_great",17920
"127","thanks_for_following",17820
"128","how_are_you",17590
"129","you_for_the",17590
"130","so_much_for",17520
"131","a_little_bit",17420
"132","i_was_a",17370
"133","for_me_to",17360
"134","a_long_time",17350
"135","the_middle_of",17310
"136","and_i_was",17290
"137","that_i_am",17220
"138","is_the_best",17160
"139","not_going_to",17070
"140","i_would_have",16860
"141","is_not_a",16840
"142","to_do_it",16800
"143","it_was_the",16790
"144","it_is_the",16760
"145","i_decided_to",16750
"146","to_get_the",16740
"147","of_the_world",16690
"148","can't_wait_for",16650
"149","in_the_first",16560
"150","it_is_not",16540
"151","what_are_you",16520
"152","for_a_while",16460
"153","would_be_a",16280
"154","in_love_with",16240
"155","when_it_comes",16180
"156","to_take_a",16160
"157","thanks_so_much",16120
"158","i_went_to",16020
"159","check_it_out",16000
"160","i_need_a",16000
"161","a_bunch_of",15910
"162","i_love_it",15880
"163","that_would_be",15840
"164","the_united_states",15840
"165","of_the_best",15830
"166","of_my_life",15830
"167","be_sure_to",15820
"168","i_used_to",15700
"169","will_be_a",15700
"170","how_do_you",15670
"171","i_was_in",15650
"172","as_soon_as",15610
"173","on_the_other",15600
"174","side_of_the",15540
"175","wish_i_could",15530
"176","looking_for_a",15490
"177","that_i_was",15470
"178","i'm_not_sure",15440
"179","thank_you_so",15270
"180","in_the_same",15250
"181","up_in_the",15240
"182","a_chance_to",15210
"183","need_to_get",15160
"184","at_the_time",15150
"185","in_the_past",14860
"186","of_my_favorite",14730
"187","don't_have_to",14700
"188","is_in_the",14610
"189","a_part_of",14590
"190","it_comes_to",14590
"191","i_think_it",14570
"192","i_know_that",14420
"193","but_it_was",14400
"194","for_a_few",14350
"195","that_it_is",14340
"196","have_a_good",14300
"197","would_have_been",14300
"198","i_miss_you",14290
"199","that_it_was",14230
"200","what_to_do",14210
"201","is_a_great",14160
"202","going_to_the",14110
"203","i_am_going",14080
"204","i_do_not",13930
"205","for_the_next",13920
"206","and_it_is",13920
"207","know_how_to",13910
"208","have_to_do",13830
"209","go_back_to",13810
"210","seems_to_be",13810
"211","i_think_the",13810
"212","we_have_to",13750
"213","we_will_be",13730
"214","there_will_be",13710
"215","it_has_been",13660
"216","but_it_is",13600
"217","to_make_the",13570
"218","back_in_the",13560
"219","because_of_the",13530
"220","you_can_see",13500
"221","the_top_of",13490
"222","to_say_that",13460
"223","on_the_way",13430
"224","you_know_what",13420
"225","trying_to_get",13400
"226","i_got_a",13320
"227","to_get_to",13310
"228","a_great_time",13280
"229","to_be_able",13240
"230","don't_know_what",13220
"231","look_at_the",13220
"232","you_don't_have",13210
"233","but_i_think",13200
"234","check_out_the",13170
"235","we_had_a",13100
"236","and_i_will",13090
"237","to_all_the",13070
"238","the_only_one",13060
"239","to_see_what",13010
"240","but_i_don't",12960
"241","all_the_way",12870
"242","want_to_go",12820
"243","am_going_to",12770
"244","i'd_like_to",12660
"245","a_few_days",12630
"246","out_of_my",12530
"247","i_like_to",12500
"248","i_think_it's",12480
"249","for_all_the",12470
"250","has_been_a",12430
"251","but_i_have",12430
"252","to_talk_to",12420
"253","supposed_to_be",12390
"254","please_follow_me",12380
"255","i_thought_i",12340
"256","let_us_know",12290
"257","it_in_the",12280
"258","at_a_time",12270
"259","and_of_course",12260
"260","a_way_to",12250
"261","in_the_end",12170
"262","up_to_the",12110
"263","on_top_of",12050
"264","top_of_the",12050
"265","is_a_good",12030
"266","want_to_see",12000
"267","i_would_like",11990
"268","to_make_sure",11950
"269","you_are_a",11930
"270","i_thought_it",11890
"271","more_than_a",11890
"272","this_is_not",11890
"273","do_you_know",11850
"274","but_i_am",11850
"275","be_a_good",11820
"276","according_to_the",11800
"277","it_to_the",11790
"278","i_think_that",11790
"279","the_same_thing",11780
"280","was_able_to",11750
"281","all_over_the",11750
"282","on_my_way",11710
"283","want_to_do",11710
"284","at_this_point",11670
"285","of_all_the",11660
"286","will_have_to",11660
"287","i_was_just",11630
"288","and_i_don't",11570
"289","i_was_going",11560
"290","the_back_of",11560
"291","i_just_want",11560
"292","you_will_be",11550
"293","to_find_out",11550
"294","in_the_last",11540
"295","to_figure_out",11540
"296","a_number_of",11530
"297","by_the_way",11530
"298","it's_going_to",11500
"299","the_only_thing",11450
"300","to_see_if",11420
"301","be_in_the",11410
"302","i_don't_like",11390
"303","of_the_time",11380
"304","have_to_go",11260
"305","have_to_say",11250
"306","have_no_idea",11250
"307","going_to_have",11250
"308","the_name_of",11240
"309","has_to_be",11240
"310","needs_to_be",11240
"311","one_of_them",11230
"312","to_find_a",11220
"313","i_love_my",11220
"314","i_would_love",11220
"315","just_want_to",11220
"316","was_one_of",11210
"317","in_my_head",11210
"318","and_i_think",11170
"319","if_you_can",11160
"320","get_out_of",11160
"321","will_be_the",11130
"322","i_would_be",11100
"323","that_i_can",11090
"324","hope_to_see",10970
"325","a_good_day",10960
"326","for_you_to",10950
"327","to_get_my",10940
"328","no_matter_what",10900
"329","you_know_that",10900
"330","went_to_the",10870
"331","thank_you_to",10870
"332","i_get_to",10860
"333","a_great_weekend",10840
"334","did_you_know",10840
"335","that_i_had",10810
"336","i_did_not",10810
"337","thought_it_was",10760
"338","the_idea_of",10720
"339","some_of_my",10710
"340","at_the_moment",10700
"341","that_was_a",10670
"342","to_do_a",10620
"343","i_love_that",10590
"344","the_way_to",10510
"345","i_wonder_if",10510
"346","was_in_the",10490
"347","that_is_the",10480
"348","in_a_few",10440
"349","to_talk_about",10410
"350","away_from_the",10410
"351","no_matter_how",10370
"352","a_little_more",10360
"353","and_in_the",10330
"354","you_can_do",10320
"355","to_do_the",10300
"356","when_i_get",10250
"357","don't_forget_to",10200
"358","i_have_the",10200
"359","used_to_be",10200
"360","that_they_are",10150
"361","the_beginning_of",10140
"362","as_far_as",10110
"363","i_can_do",10110
"364","a_few_weeks",10110
"365","out_in_the",10100
"366","is_not_the",10070
"367","are_you_going",10060
"368","going_to_get",10060
"369","every_time_i",10060
"370","come_up_with",10050
"371","by_the_time",10040
"372","s_o_to",10010
"373","up_with_a",9980
"374","to_look_at",9960
"375","is_the_only",9940
"376","the_other_day",9930
"377","shout_out_to",9920
"378","the_bottom_of",9920
"379","and_i_love",9910
"380","this_is_what",9900
"381","to_meet_you",9890
"382","i_can't_believe",9880
"383","that_you_can",9860
"384","the_time_to",9820
"385","i_didn't_know",9820
"386","is_that_the",9790
"387","i_like_the",9730
"388","to_deal_with",9690
"389","there_was_no",9690
"390","happy_birthday_to",9640
"391","there_are_a",9630
"392","in_the_future",9630
"393","i_was_so",9610
"394","we_want_to",9580
"395","a_few_years",9560
"396","i_can_get",9540
"397","and_if_you",9520
"398","to_check_out",9510
"399","that_there_is",9500
"400","in_new_york",9490
"401","you_going_to",9490
"402","to_see_how",9490
"403","the_number_of",9490
"404","take_care_of",9480
"405","i_got_to",9480
"406","make_sure_you",9480
"407","in_terms_of",9470
"408","sounds_like_a",9460
"409","of_course_i",9450
"410","many_of_the",9440
"411","it_was_so",9410
"412","up_on_the",9410
"413","to_tell_you",9390
"414","a_piece_of",9380
"415","to_work_on",9350
"416","and_this_is",9350
"417","in_the_next",9330
"418","it's_time_to",9330
"419","is_on_the",9320
"420","if_i_had",9310
"421","of_the_week",9290
"422","i_get_a",9280
"423","what_is_the",9280
"424","with_all_the",9270
"425","the_opportunity_to",9270
"426","is_the_most",9260
"427","to_all_of",9260
"428","to_get_out",9250
"429","it's_been_a",9240
"430","what_kind_of",9230
"431","in_the_house",9230
"432","and_a_half",9220
"433","so_much_fun",9200
"434","feel_free_to",9190
"435","that_you_are",9190
"436","that_is_a",9180
"437","don't_have_a",9170
"438","don't_know_how",9170
"439","but_if_you",9170
"440","to_see_it",9160
"441","and_i_had",9120
"442","that_we_are",9110
"443","to_do_this",9100
"444","happy_new_year",9100
"445","to_be_on",9080
"446","all_of_you",9080
"447","it_should_be",9050
"448","time_to_get",9040
"449","for_some_reason",9040
"450","going_to_do",9020
"451","i_don't_even",9010
"452","to_listen_to",8990
"453","this_is_my",8990
"454","all_of_us",8970
"455","it_looks_like",8960
"456","up_with_the",8950
"457","i_can_see",8950
"458","and_then_i",8940
"459","it_can_be",8930
"460","the_best_of",8930
"461","to_go_back",8910
"462","being_able_to",8910
"463","the_time_i",8900
"464","to_work_with",8900
"465","is_such_a",8900
"466","didn't_want_to",8890
"467","you_can_get",8890
"468","as_part_of",8890
"469","happy_mothers_day",8880
"470","want_to_get",8870
"471","bit_of_a",8870
"472","will_not_be",8860
"473","one_of_our",8800
"474","a_lot_more",8780
"475","if_i_can",8780
"476","as_a_result",8760
"477","what_it_is",8760
"478","for_all_of",8750
"479","the_people_who",8730
"480","when_you_are",8730
"481","have_been_a",8720
"482","of_the_new",8710
"483","wait_for_the",8700
"484","more_and_more",8660
"485","to_get_back",8660
"486","see_you_there",8640
"487","and_all_the",8630
"488","due_to_the",8620
"489","get_back_to",8600
"490","a_good_time",8590
"491","i_guess_i",8580
"492","are_in_the",8570
"493","just_have_to",8560
"494","so_you_can",8560
"495","a_good_thing",8550
"496","to_take_the",8540
"497","i_know_you",8530
"498","to_be_an",8520
"499","how_much_i",8520
"500","out_to_the",8520
"501","for_the_rest",8490
"502","as_it_is",8470
"503","i'd_love_to",8470
"504","he_was_a",8460
"505","to_see_a",8460
"506","the_last_time",8460
"507","my_way_to",8450
"508","feel_like_i",8440
"509","you_and_your",8420
"510","but_i_was",8410
"511","you_are_not",8400
"512","in_a_while",8400
"513","a_picture_of",8390
"514","i_had_the",8390
"515","all_of_my",8390
"516","i_just_got",8390
"517","the_kind_of",8390
"518","that_he_was",8380
"519","happy_mother's_day",8380
"520","to_get_it",8380
"521","i_am_in",8370
"522","if_you_need",8370
"523","be_on_the",8340
"524","me_in_the",8340
"525","to_try_to",8340
"526","middle_of_the",8340
"527","want_to_know",8330
"528","i_don't_care",8310
"529","are_you_doing",8290
"530","ready_for_the",8280
"531","me_and_i",8280
"532","know_if_you",8260
"533","was_a_great",8250
"534","the_other_hand",8250
"535","a_few_of",8240
"536","looks_like_a",8240
"537","on_the_road",8220
"538","if_i_could",8220
"539","rt_if_you",8220
"540","to_do_so",8210
"541","where_are_you",8200
"542","that_i_would",8200
"543","of_the_first",8190
"544","i_think_we",8160
"545","so_we_can",8150
"546","the_power_of",8150
"547","any_of_the",8150
"548","i_try_to",8140
"549","i_love_this",8140
"550","wish_i_was",8130
"551","let_you_know",8130
"552","hope_you_have",8120
"553","be_a_great",8110
"554","for_those_who",8100
"555","i_think_i'm",8100
"556","front_of_the",8090
"557","i_think_you",8090
"558","the_next_day",8080
"559","will_be_in",8080
"560","the_same_way",8080
"561","you_are_the",8070
"562","as_you_can",8070
"563","that_this_is",8060
"564","me_and_my",8060
"565","is_the_first",8060
"566","for_the_mention",8050
"567","at_the_top",8050
"568","to_think_about",8050
"569","that_i_don't",8050
"570","had_to_be",8050
"571","seem_to_be",8050
"572","much_as_i",8050
"573","if_i_was",8040
"574","i'm_pretty_sure",8040
"575","over_and_over",8010
"576","it_was_just",8010
"577","for_the_last",7990
"578","to_me_and",7990
"579","do_you_want",7970
"580","i_could_have",7970
"581","it's_hard_to",7960
"582","you're_going_to",7950
"583","you_had_a",7950
"584","and_have_a",7930
"585","in_addition_to",7930
"586","on_the_floor",7930
"587","getting_ready_for",7930
"588","to_do_that",7910
"589","have_a_lot",7910
"590","and_i_are",7900
"591","getting_ready_to",7890
"592","the_ability_to",7890
"593","for_the_day",7890
"594","down_to_the",7880
"595","who_wants_to",7880
"596","i'm_trying_to",7870
"597","wish_i_had",7870
"598","for_a_long",7870
"599","was_a_good",7870
"600","i_tried_to",7870
"601","to_have_to",7870
"602","a_pair_of",7850
"603","i_know_it",7840
"604","but_i_do",7830
"605","he_is_a",7800
"606","is_a_very",7800
"607","and_i_know",7790
"608","a_series_of",7790
"609","part_of_a",7790
"610","a_few_minutes",7780
"611","give_me_a",7780
"612","thanks_for_sharing",7770
"613","even_though_i",7770
"614","was_the_first",7770
"615","a_group_of",7760
"616","a_fan_of",7760
"617","out_to_be",7760
"618","to_watch_the",7760
"619","to_do_is",7750
"620","a_matter_of",7740
"621","i_have_never",7730
"622","you_have_any",7720
"623","in_the_city",7720
"624","and_that_is",7720
"625","may_not_be",7720
"626","don't_know_if",7720
"627","one_of_these",7710
"628","so_excited_to",7700
"629","i_didn't_have",7690
"630","to_pick_up",7680
"631","the_story_of",7670
"632","just_wanted_to",7660
"633","just_a_few",7660
"634","it_to_be",7650
"635","of_the_night",7650
"636","over_the_years",7650
"637","been_able_to",7650
